Team,Formation,Winning_Rate,Draw_Rate,Losing_Rate
Manchester United,4-4-2,0.62,0.23,0.15
Manchester United,4-2-3-1,0.54,0.26,0.20
Manchester United,3-5-2,0.48,0.30,0.22
Real Madrid,4-3-3,0.66,0.19,0.15
Real Madrid,4-2-3-1,0.61,0.22,0.17
Real Madrid,4-4-2,0.59,0.25,0.16
Barcelona,4-3-3,0.71,0.18,0.11
Barcelona,4-4-2,0.64,0.26,0.10
Barcelona,3-4-3,0.60,0.20,0.20
Liverpool,4-3-3,0.63,0.22,0.15
Liverpool,4-2-3-1,0.58,0.24,0.18
Liverpool,4-4-2,0.52,0.28,0.20
Arsenal,4-2-3-1,0.55,0.25,0.20
Arsenal,3-4-3,0.52,0.23,0.25
Arsenal,4-3-3,0.59,0.22,0.19
Bayern Munich,4-2-3-1,0.74,0.15,0.11
Bayern Munich,4-3-3,0.72,0.16,0.12
Bayern Munich,3-4-3,0.68,0.18,0.14
Juventus,3-5-2,0.60,0.25,0.15
Juventus,4-3-3,0.58,0.24,0.18
Juventus,4-4-2,0.55,0.30,0.15
PSG,4-3-3,0.68,0.20,0.12
PSG,4-2-3-1,0.65,0.22,0.13
PSG,4-2-2-2,0.62,0.23,0.15
