D_Raya,W_Saliba,Gabriel,B_White,O_Zinchenko,Takehiro_Tomiyasu,Jakub_Kiwior,T_Partey,D_Rice,M_Odegaard,K_Havertz,Emile_Rowe,B_Saka,G_Jesus,G_Martinelli,Result
1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,Win
1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,Draw
1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,Loss
1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,Win
1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,Win
1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,Draw
1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,Win
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Win
1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,Draw
1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,Win
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loss
1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,Win
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Draw
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Win
1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,Win
1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,Draw
1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,Loss
1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,Win
1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,Win
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Win
