T_Courtois,E_Militao,A_Rudiger,D_Carvajal,D_Alaba,F_Mendy,L_Modric,T_Kroos,F_Valverde,J_Bellingham,E_Camavinga,A_Tchouameni,V_Junior,Rodrygo,Joselu,Result
1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,Win
1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,Draw
1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,Win
1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,Win
1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,Win
1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,Draw
1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,Win
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,Win
1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,Draw
1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,Win
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Win
1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,Win
1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,Win
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Draw
1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,Win
1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,Win
1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,Win
1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,Draw
1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,Win
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Win
